epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6892338991165161,0.0005000000237487257,0.7885305285453796,0.5569853186607361,1.0689077377319336
1,0.7454606890678406,0.0005000000237487257,0.6352406144142151,0.6420036554336548,1.0444189310073853
2,0.7710428833961487,0.0005000000237487257,0.5815577507019043,0.6479779481887817,1.1167409420013428
3,0.7898751497268677,0.0005000000237487257,0.5254852771759033,0.5560661554336548,1.1821421384811401
4,0.8116773366928101,0.0005000000237487257,0.47898244857788086,0.47931984066963196,1.924916386604309
5,0.8260546922683716,0.0005000000237487257,0.44712889194488525,0.8207720518112183,0.5384174585342407
6,0.8444819450378418,0.0005000000237487257,0.403689444065094,0.6953125,0.8213744163513184
7,0.8575767874717712,0.0005000000237487257,0.36939993500709534,0.5105698704719543,1.6973646879196167
8,0.871751606464386,0.0005000000237487257,0.3387334942817688,0.36121323704719543,2.7315216064453125
9,0.8820789456367493,0.0005000000237487257,0.31359580159187317,0.8345588445663452,0.461638867855072
10,0.8961862921714783,0.0005000000237487257,0.2782115638256073,0.7798713445663452,0.95240718126297
11,0.9077286720275879,0.0005000000237487257,0.2509695887565613,0.7991728186607361,0.6308138966560364
12,0.9154910445213318,0.0005000000237487257,0.22901234030723572,0.3883272111415863,4.141149044036865
13,0.9261559247970581,0.0005000000237487257,0.20125296711921692,0.7738970518112183,0.6926369667053223
14,0.9351333379745483,0.0005000000237487257,0.17512863874435425,0.8414521813392639,0.6518262624740601
0,0.6783665418624878,0.0005000000237487257,0.09390530735254288,0.6277573704719543,0.18772149085998535
1,0.7386432886123657,0.0005000000237487257,0.06915256381034851,0.603400707244873,0.1281922459602356
2,0.7624029517173767,0.0005000000237487257,0.06198770925402641,0.6139705777168274,0.1116480901837349
3,0.7793452739715576,0.0005000000237487257,0.0574188269674778,0.6337316036224365,0.1796542853116989
4,0.7987174987792969,0.0005000000237487257,0.05182700231671333,0.6999080777168274,0.1070031225681305
5,0.8091799020767212,0.0005000000237487257,0.04761771485209465,0.7003676295280457,0.10642221570014954
6,0.8170772790908813,0.0005000000237487257,0.044668667018413544,0.6116728186607361,0.17207662761211395
7,0.8227472305297852,0.0005000000237487257,0.04275771230459213,0.6976103186607361,0.10405799746513367
8,0.8302395939826965,0.0005000000237487257,0.03962448611855507,0.8092830777168274,0.07184111326932907
9,0.8357745409011841,0.0005000000237487257,0.03854500502347946,0.7444853186607361,0.0763656422495842
10,0.8410394787788391,0.0005000000237487257,0.036159805953502655,0.7201286554336548,0.07137668132781982
11,0.8441444635391235,0.0005000000237487257,0.034409940242767334,0.6962316036224365,0.08134856075048447
12,0.8488693833351135,0.0005000000237487257,0.03513035923242569,0.6539521813392639,0.1738847941160202
13,0.8586567640304565,0.0005000000237487257,0.032407715916633606,0.7375919222831726,0.1269523799419403
14,0.8689166307449341,0.0005000000237487257,0.029774939641356468,0.6323529481887817,0.14662659168243408
15,0.867026686668396,0.0005000000237487257,0.02967057377099991,0.7913603186607361,0.05705327168107033
16,0.8695916533470154,0.0005000000237487257,0.02819039858877659,0.7964154481887817,0.06621116399765015
17,0.8735740780830383,0.0005000000237487257,0.028280457481741905,0.7265625,0.07568582892417908
18,0.8744515776634216,0.0005000000237487257,0.028678806498646736,0.5629595518112183,0.19154603779315948
19,0.8785015344619751,0.0005000000237487257,0.027862997725605965,0.7931985259056091,0.05668620392680168
20,0.8894363641738892,0.0005000000237487257,0.024111244827508926,0.4954044222831726,0.36075639724731445
21,0.8941613435745239,0.0005000000237487257,0.024174420163035393,0.6024816036224365,0.3013387620449066
22,0.8791090250015259,0.0005000000237487257,0.028855426236987114,0.7490808963775635,0.10460719466209412
